ngram,log_odds,count_top,count_bot
6 00,1.633308922677923,7,2
clip 05,1.633308922677923,7,2
lb,1.633308922677923,7,2
thus,1.633308922677923,7,2
four man,1.633308922677923,7,2
big wingspan,1.633308922677923,7,2
fouls per,1.633308922677923,7,2
causing,1.633308922677923,7,2
2013 14,1.633308922677923,7,2
junior national,1.633308922677923,7,2
thick,1.633308922677923,7,2
big time,1.633308922677923,7,2
asset,1.633308922677923,7,2
164,1.633308922677923,7,2
15 7,1.633308922677923,7,2
learned,1.633308922677923,7,2
length athleticism,1.633308922677923,7,2
112,1.633308922677923,7,2
period,1.633308922677923,7,2
exhibits,1.633308922677923,7,2
could potentially,1.633308922677923,7,2
starts,1.633308922677923,7,2
excellent hands,1.633308922677923,7,2
opening,1.633308922677923,7,2
7 2,1.6152310680960227,62,18
borko,1.5946690880943706,17,5
popic,1.5946690880943706,17,5
borko popic,1.5946690880943706,17,5
0 1,1.5674721290098894,40,12
iowa,1.5664749400654774,20,6
0 3,1.5664749400654774,20,6
statistical,1.564718772620072,10,3
options,1.564718772620072,10,3
9 4,1.564718772620072,10,3
halfcourt,1.564718772620072,10,3
showcase,1.564718772620072,10,3
stl,1.558739609942732,53,16
5 2,1.5304273491505729,26,8
seem,1.529081222256032,13,4
size length,1.529081222256032,13,4
youth,1.529081222256032,13,4
totals,1.5182085975014754,29,9
stage,1.5072474135154437,16,5
shifty,1.5072474135154437,16,5
unc,1.4925004630849035,19,6
fg ft,1.4738541650819528,25,8
07,1.4738541650819528,25,8
ftm,1.4738541650819528,25,8
ftm fta,1.4738541650819528,25,8
fga,1.4738541650819528,25,8
blk,1.4713164638105507,53,17
progress,1.4675884427797588,28,9
2009,1.4669306338475252,87,28
pf,1.4632814555121847,62,20
48,1.462559238256583,31,10
4 1,1.462559238256583,31,10
min,1.4158083341684264,51,17
giving,1.4151282567132029,27,9
53,1.4145282707164402,18,6
eye,1.4141862412852682,15,5
legs,1.4141862412852682,15,5
bloomer,1.4141862412852682,15,5
proven,1.4141862412852682,15,5
late bloomer,1.4141862412852682,15,5
210,1.4136845702008305,12,4
2014 usa,1.4136845702008305,12,4
finishing ability,1.4136845702008305,12,4
3fg,1.4136845702008305,12,4
tunnel vision,1.4128639688461284,9,3
fire,1.4128639688461284,9,3
towards,1.4128639688461284,9,3
205,1.4128639688461284,9,3
two guard,1.4128639688461284,9,3
viewed,1.4128639688461284,9,3
bigtime,1.4128639688461284,9,3
pay,1.4128639688461284,9,3
tunnel,1.4128639688461284,9,3
vocal leader,1.4128639688461284,9,3
great defensive,1.4128639688461284,9,3
list,1.4112476289185345,6,2
maintaining,1.4112476289185345,6,2
3pt attempts,1.4112476289185345,6,2
improved upon,1.4112476289185345,6,2
solid vision,1.4112476289185345,6,2
lockdown,1.4112476289185345,6,2
hope,1.4112476289185345,6,2
nike big,1.4112476289185345,6,2
steam,1.4112476289185345,6,2
nice size,1.4112476289185345,6,2
incident,1.4112476289185345,6,2
