ngram,log_odds,count_top,count_bot
span,1.222934247824245,8,3
2008 youtube,1.222934247824245,8,3
great touch,1.222934247824245,8,3
amongst,1.222934247824245,8,3
relative,1.222934247824245,8,3
would benefit,1.222934247824245,8,3
09 youtube,1.222934247824245,8,3
solid ability,1.222934247824245,8,3
innate,1.222934247824245,8,3
3 13,1.222934247824245,8,3
surprise,1.222934247824245,8,3
footed,1.222934247824245,8,3
aspects,1.222934247824245,8,3
pps 2008,1.222934247824245,8,3
per contest,1.222934247824245,8,3
tall,1.222934247824245,8,3
fundamentals,1.1886368217540095,26,10
soft hands,1.1876656777804886,13,5
highest,1.1876656777804886,13,5
combination,1.1543363477770576,33,13
hs,1.1320638119982132,25,10
match,1.1320638119982132,25,10
attention,1.1318160116326759,20,8
legs,1.1314243383960019,15,6
centers,1.1306733570866978,10,4
reputation,1.1306733570866978,10,4
rely,1.1306733570866978,10,4
make shots,1.1306733570866978,10,4
runners,1.1306733570866978,10,4
listed,1.1306733570866978,10,4
becomes,1.1306733570866978,10,4
mind,1.1306733570866978,10,4
gains,1.1306733570866978,10,4
battle,1.1306733570866978,10,4
promising,1.1306733570866978,10,4
extremely efficient,1.1284888958091255,5,2
affect,1.1284888958091255,5,2
lineup,1.1284888958091255,5,2
senior level,1.1284888958091255,5,2
emerged,1.1284888958091255,5,2
excellent handler,1.1284888958091255,5,2
136,1.1284888958091255,5,2
drift,1.1284888958091255,5,2
dishing,1.1284888958091255,5,2
collapses,1.1284888958091255,5,2
move well,1.1284888958091255,5,2
period,1.1284888958091255,5,2
college experience,1.1284888958091255,5,2
regular basis,1.1284888958091255,5,2
strong work,1.1284888958091255,5,2
