ngram,log_odds,count_top,count_bot
tot,1.7740773157300076,27,7
3p pps,1.7740773157300076,27,7
gp min,1.7740773157300076,27,7
fg fga,1.7740773157300076,27,7
pts reb,1.7740773157300076,27,7
ft 3p,1.7740773157300076,27,7
def,1.7740773157300076,27,7
fta 3pm,1.7740773157300076,27,7
3pm,1.7740773157300076,27,7
fga ftm,1.7740773157300076,27,7
fg ft,1.7740773157300076,27,7
continued,1.7322181943403958,15,4
fr,1.7196382806838137,26,7
min,1.702063933559641,55,15
matchup,1.698913550133982,11,3
4 rebounds,1.698913550133982,11,3
hype,1.698913550133982,11,3
2014 nike,1.698913550133982,11,3
11 1,1.698913550133982,11,3
junior national,1.698913550133982,11,3
across,1.698913550133982,11,3
want,1.698913550133982,11,3
patient,1.698913550133982,11,3
stl,1.685644422787698,58,16
among,1.6739061254422456,18,5
uk,1.6739061254422456,18,5
blk,1.6605460074647507,57,16
2 1,1.635244373294805,70,20
2009 10,1.6346771507700169,42,12
0 6,1.634136368115346,28,8
82,1.633651812994911,21,6
vocal,1.633651812994911,21,6
u16,1.633651812994911,21,6
steps,1.633651812994911,21,6
soft hands,1.632739379827278,14,4
feet well,1.632739379827278,14,4
soph,1.632739379827278,14,4
coordination,1.632739379827278,14,4
looked,1.632739379827278,14,4
possession,1.632739379827278,14,4
virtually,1.6301195317357138,7,2
spins,1.6301195317357138,7,2
5 free,1.6301195317357138,7,2
load,1.6301195317357138,7,2
san,1.6301195317357138,7,2
per contest,1.6301195317357138,7,2
injuries,1.6301195317357138,7,2
ability good,1.6301195317357138,7,2
readiness,1.6301195317357138,7,2
check,1.6301195317357138,7,2
basket game,1.6301195317357138,7,2
elite athlete,1.6301195317357138,7,2
receiving,1.6301195317357138,7,2
good mobility,1.6301195317357138,7,2
09 season,1.6301195317357138,7,2
four man,1.6301195317357138,7,2
unlike,1.6301195317357138,7,2
fsu,1.6301195317357138,7,2
starts,1.6301195317357138,7,2
entry passes,1.6301195317357138,7,2
william,1.6301195317357138,7,2
2008 youtube,1.6301195317357138,7,2
parts,1.6301195317357138,7,2
deceptive,1.6301195317357138,7,2
2019 nike,1.6301195317357138,7,2
2 2,1.5931029431672723,51,15
4 7,1.5914792915868858,17,5
seem,1.5914792915868858,17,5
ftm fta,1.581676229973164,27,8
gp,1.581676229973164,27,8
ftm,1.581676229973164,27,8
mind,1.561529262467964,10,3
follow,1.561529262467964,10,3
5 steals,1.561529262467964,10,3
3pta,1.561529262467964,10,3
107,1.561529262467964,10,3
2022 23,1.561529262467964,10,3
bang,1.561529262467964,10,3
great body,1.561529262467964,10,3
u19,1.54956209608107,33,10
another,1.5427974821027917,23,7
48,1.52723719492697,26,8
espn,1.52589159288741,13,4
2019 good,1.52589159288741,13,4
rely,1.52589159288741,13,4
proven,1.5040576649236979,16,5
2018 averaged,1.5040576649236979,16,5
good hands,1.5040576649236979,16,5
pergame,1.5040576649236979,16,5
3pa,1.4119380790872,27,9
2014 usa,1.4109965406084743,15,5
59,1.4104949887448068,12,4
school class,1.4104949887448068,12,4
activity,1.4104949887448068,12,4
battle,1.4096745066042633,9,3
aau,1.4096745066042633,9,3
pps 2008,1.4096745066042633,9,3
length athleticism,1.4096745066042633,9,3
traditional,1.4096745066042633,9,3
lazy,1.4096745066042633,9,3
notch,1.4096745066042633,9,3
edge,1.4096745066042633,9,3
best player,1.4096745066042633,9,3
9 8,1.4096745066042633,9,3
oriented,1.4096745066042633,9,3
basketball academy,1.4096745066042633,9,3
great defensive,1.4096745066042633,9,3
current,1.4096745066042633,9,3
much room,1.4096745066042633,9,3
clip 4,1.4096745066042633,9,3
counter,1.4096745066042633,9,3
long athletic,1.4080582858842146,6,2
stretch big,1.4080582858842146,6,2
11 8,1.4080582858842146,6,2
could potentially,1.4080582858842146,6,2
speeds,1.4080582858842146,6,2
dimensions,1.4080582858842146,6,2
19 points,1.4080582858842146,6,2
turn 18,1.4080582858842146,6,2
receive,1.4080582858842146,6,2
premium,1.4080582858842146,6,2
directly,1.4080582858842146,6,2
session,1.4080582858842146,6,2
weighed,1.4080582858842146,6,2
college 3,1.4080582858842146,6,2
youngest,1.4080582858842146,6,2
159,1.4080582858842146,6,2
great motor,1.4080582858842146,6,2
15 7,1.4080582858842146,6,2
clip 05,1.4080582858842146,6,2
scouting,1.4080582858842146,6,2
doubt,1.4080582858842146,6,2
obvious,1.4080582858842146,6,2
boxes,1.4080582858842146,6,2
110,1.4080582858842146,6,2
great foot,1.4080582858842146,6,2
averaged 11,1.4080582858842146,6,2
1 14,1.4080582858842146,6,2
found,1.4080582858842146,6,2
feet good,1.4080582858842146,6,2
alter,1.4080582858842146,6,2
3fg,1.4080582858842146,6,2
assertive,1.4080582858842146,6,2
advanced footwork,1.4080582858842146,6,2
would benefit,1.4080582858842146,6,2
worth,1.4080582858842146,6,2
big time,1.4080582858842146,6,2
would like,1.4080582858842146,6,2
big hands,1.4080582858842146,6,2
shot 5,1.4080582858842146,6,2
solid touch,1.4080582858842146,6,2
amongst,1.4080582858842146,6,2
9 blocks,1.4080582858842146,6,2
good ability,1.4080582858842146,6,2
9 3pt,1.4080582858842146,6,2
well defensively,1.4080582858842146,6,2
5 apg,1.4080582858842146,6,2
excellent hands,1.4080582858842146,6,2
189,1.4080582858842146,6,2
move well,1.4080582858842146,6,2
soft,1.3821807171300566,47,16
goes,1.3716288572500872,35,12
polish,1.3574990440410062,26,9
elite level,1.3412222837900831,20,7
two feet,1.3289116169569049,17,6
kid,1.312541966603412,28,10
3 7,1.3115177260953566,14,5
8 points,1.3115177260953566,14,5
rare,1.3115177260953566,14,5
school career,1.3115177260953566,14,5
highest,1.3115177260953566,14,5
giving,1.3009259078951914,25,9
match,1.28628276391888,22,8
mediocre,1.2850615135695005,11,4
breakout,1.2850615135695005,11,4
smaller players,1.2850615135695005,11,4
possible,1.2850615135695005,11,4
operating,1.2850615135695005,11,4
operate,1.2850615135695005,11,4
sr,1.2850615135695005,11,4
long range,1.2850615135695005,11,4
good tools,1.2850615135695005,11,4
carry,1.2850615135695005,11,4
pts,1.2753037585801206,60,22
2006,1.2672478547276018,19,7
terms,1.2672478547276018,19,7
needed,1.2672478547276018,19,7
keeping,1.2672478547276018,19,7
2009,1.255488098936807,78,29
5 0,1.2420444596572633,24,9
plenty,1.2420444596572633,24,9
u18,1.2420444596572633,24,9
64,1.2414899902937169,16,6
results,1.2414899902937169,16,6
entry,1.2399378504545862,8,3
5 attempts,1.2399378504545862,8,3
occasions,1.2399378504545862,8,3
05,1.2399378504545862,8,3
help defense,1.2399378504545862,8,3
maximize,1.2399378504545862,8,3
jump hook,1.2399378504545862,8,3
sustain,1.2399378504545862,8,3
jab,1.2399378504545862,8,3
read,1.2399378504545862,8,3
tall,1.2399378504545862,8,3
grew,1.2399378504545862,8,3
distribute,1.2399378504545862,8,3
9 7,1.2399378504545862,8,3
7 standing,1.2399378504545862,8,3
bigger defenders,1.2399378504545862,8,3
rushed,1.2399378504545862,8,3
improve finishing,1.2399378504545862,8,3
backcourt,1.2399378504545862,8,3
passes well,1.2399378504545862,8,3
1 2,1.23504322962855,61,23
mobility,1.229553141125507,37,14
ast,1.2263788528148734,58,22
