player_name,draft_year,draft_pick,position,player_id,SEASON_ID,PLUS_MINUS,GP,MIN,PTS,REB,AST,STL,BLK,FG_PCT,FG3_PCT,FT_PCT,FGM,FGA,FG3M,FG3A,FTM,FTA,OREB,DREB,TOV,PF,TEAM_ABBREVIATION,note,VORP,PLAYER_ID,PLAYER_NAME
Cedric Jackson,2009,90,Point Guard,202132.0,2009-10,-0.8,12.0,6.2,1.7,0.7,1.2,0.3,0.2,0.3,0.167,0.583,0.5,1.7,0.1,0.5,0.6,1.0,0.2,0.5,0.9,0.6,WAS,ok,-0.1,202132.0,Cedric Jackson
Luigi Datome,2009,91,Small Forward,,,,,,,,,,,,,,,,,,,,,,,,,not_found_in_api,,,
Antonio Anderson,2009,92,Shooting Guard,202079.0,2009-10,-2.0,1.0,14.6,2.0,1.0,0.0,0.0,0.0,0.333,0.0,0.0,1.0,3.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,OKC,ok,0.0,202079.0,Antonio Anderson
Joe Ingles,2009,93,Shooting Guard/Small Forward,204060.0,,,,,,,,,,,,,,,,,,,,,,,,no_data_in_2009-10_to_2013-14,,,
Kevin Rogers,2009,94,Small Forward/Power Forward,,,,,,,,,,,,,,,,,,,,,,,,,not_found_in_api,,,
Charlie Coley,2009,95,Small Forward,,,,,,,,,,,,,,,,,,,,,,,,,not_found_in_api,,,
Lorrenzo Wade,2009,96,Shooting Guard,,,,,,,,,,,,,,,,,,,,,,,,,not_found_in_api,,,
Eric Devendorf,2009,97,Point Guard/Shooting Guard,,,,,,,,,,,,,,,,,,,,,,,,,not_found_in_api,,,
Lewis Clinch,2009,98,Shooting Guard,,,,,,,,,,,,,,,,,,,,,,,,,not_found_in_api,,,
Dar Tucker,2009,99,Shooting Guard,,,,,,,,,,,,,,,,,,,,,,,,,not_found_in_api,,,
Connor Atchley,2009,100,Power Forward,,,,,,,,,,,,,,,,,,,,,,,,,not_found_in_api,,,
John Wall,2010,1,Point Guard,202322.0,2014-15,3.5,79.0,35.9,17.6,4.6,10.0,1.7,0.6,0.445,0.3,0.785,6.6,14.8,0.8,2.7,3.6,4.6,0.5,4.2,3.8,2.3,WAS,ok,4.0,202322.0,John Wall
