player_name,draft_year,draft_pick,position,player_id,SEASON_ID,PLUS_MINUS,GP,MIN,PTS,REB,AST,STL,BLK,FG_PCT,FG3_PCT,FT_PCT,FGM,FGA,FG3M,FG3A,FTM,FTA,OREB,DREB,TOV,PF,TEAM_ABBREVIATION,note,PLAYER_ID,PLAYER_NAME
Alonzo Gee,2009.0,62.0,Shooting Guard,202087.0,2009-10,-0.5,11.0,16.5,7.4,3.0,0.6,0.6,0.1,0.475,0.778,0.621,2.5,5.4,0.6,0.8,1.6,2.6,1.4,1.6,0.9,1.2,WAS,ok,202087.0,Alonzo Gee
Garret Siler,2009.0,63.0,Center,202081.0,2010-11,-0.8,21.0,4.8,2.1,1.3,0.1,0.0,0.2,0.548,0.0,0.5,0.8,1.5,0.0,0.0,0.5,1.0,0.8,0.6,0.5,1.0,PHX,ok,202081.0,Garret Siler
Alex Ruoff,2009.0,64.0,Shooting Guard,,,,,,,,,,,,,,,,,,,,,,,,,not_found_in_api,,
Milenko Tepic,2009.0,65.0,Point Guard/Shooting Guard,,,,,,,,,,,,,,,,,,,,,,,,,not_found_in_api,,
Christian Eyenga,2009.0,66.0,Shooting Guard/Small Forward,201963.0,2010-11,-4.6,44.0,21.5,6.9,2.8,0.8,0.8,0.6,0.425,0.275,0.643,3.0,7.0,0.6,2.1,0.4,0.6,0.6,2.2,1.1,1.8,CLE,ok,201963.0,Christian Eyenga
Emir Preldzic,2009.0,67.0,Shooting Guard/Small Forward,,,,,,,,,,,,,,,,,,,,,,,,,not_found_in_api,,
Henk Norel,2009.0,68.0,Power Forward/Center,,,,,,,,,,,,,,,,,,,,,,,,,not_found_in_api,,
Paul Harris,2009.0,69.0,Shooting Guard/Small Forward,,,,,,,,,,,,,,,,,,,,,,,,,not_found_in_api,,
Chinemelu Elonu,2009.0,70.0,Power Forward,,,,,,,,,,,,,,,,,,,,,,,,,not_found_in_api,,
Jon Brockman,2009.0,71.0,Power Forward,201972.0,2010-11,0.6,63.0,10.8,2.2,2.9,0.3,0.2,0.0,0.511,0.0,0.678,0.8,1.5,0.0,0.0,0.6,0.9,1.2,1.7,0.4,1.9,MIL,ok,201972.0,Jon Brockman
Nando De Colo,2009.0,72.0,Point Guard/Shooting Guard,201986.0,2013-14,0.0,47.0,10.5,3.8,1.6,1.4,0.5,0.1,0.418,0.34,0.886,1.4,3.3,0.4,1.1,0.7,0.7,0.3,1.3,0.7,1.0,TOR,ok,201986.0,Nando De Colo
Jack McClinton,2009.0,73.0,Shooting Guard,,,,,,,,,,,,,,,,,,,,,,,,,not_found_in_api,,
Stefon Jackson,2009.0,74.0,Shooting Guard,,,,,,,,,,,,,,,,,,,,,,,,,not_found_in_api,,
Alade Aminu,2009.0,75.0,Small Forward/Power Forward,202329.0,2011-12,-0.5,66.0,22.4,6.0,4.7,1.0,0.9,0.5,0.411,0.277,0.754,2.3,5.5,0.2,0.7,1.3,1.7,1.4,3.2,1.4,2.1,NOH,recovered:last_unique,202329.0,Al-Farouq Aminu
Josh Akognon,2009.0,76.0,Point Guard,203006.0,2012-13,-1.7,3.0,2.9,1.7,0.3,0.3,0.0,0.0,0.5,0.5,0.0,0.7,1.3,0.3,0.7,0.0,0.0,0.0,0.3,0.0,1.0,DAL,ok,203006.0,Josh Akognon
Brandon Costner,2009.0,77.0,Small Forward,,,,,,,,,,,,,,,,,,,,,,,,,not_found_in_api,,
Lester Hudson,2009.0,78.0,Point Guard/Shooting Guard,201991.0,2009-10,0.6,25.0,5.3,2.3,0.7,0.5,0.3,0.1,0.396,0.313,0.846,0.8,2.1,0.2,0.6,0.4,0.5,0.3,0.4,0.6,0.5,MEM,ok,201991.0,Lester Hudson
Robert Vaden,2009.0,79.0,Shooting Guard,201987.0,,,,,,,,,,,,,,,,,,,,,,,,no_data_in_2009-10_to_2013-14,,
