 


  
  

NCAA Men's Basketball
Division IPoints Per Game
Through Games 04/07/2014


"Rank","Name","Team","Cl","Ht","Pos","G","FGM","3FG","FT","PTS","PPG"
"","Quinton Pippen","Chicago St.","Sr.","6-4","F","31","153","90","74","470","15.2"
"238","Melvin Johnson III","Arkansas St.","Sr.","6-6","G","32","156","88","85","485","15.2"
"239","Louis Dabney","Tulane","So.","6-3","G","33","160","29","151","500","15.2"
"240","Stacy Davis","Pepperdine","So.","6-6","F","31","155","23","136","469","15.1"
"","Dequan Hicks","Northwestern St.","Sr.","6-7","F","31","166","2","135","469","15.1"
"242","Brad Waldow","Saint Mary's (CA)","Jr.","6-9","F","35","191","0","147","529","15.1"
"243","Deon Jones","Monmouth","Jr.","6-6","G","32","150","27","156","483","15.1"
"244","Bernard Thompson","FGCU","Jr.","6-3","G","33","167","55","109","498","15.1"
"245","Dave Dudzinski","Holy Cross","Sr.","6-9","F","34","184","26","119","513","15.1"
"246","Jarnell Stokes","Tennessee","Jr.","6-8","F","37","199","0","160","558","15.1"
"247","Jermaine Marshall","Arizona St.","Sr.","6-4","G","32","162","82","76","482","15.1"
"248","Cole Dickerson","San Francisco","Sr.","6-7","F","33","196","44","61","497","15.1"
"249","Rodney Elliott","UMBC","Fr.","6-0","G","30","141","45","124","451","15.0"
"250","Julius Randle","Kentucky","Fr.","6-9","F","40","196","3","204","599","15.0"
Reclassifying
"NR","Denzel Livingston","UIW","Jr.","6-4","G","27","174","54","146","548","20.3"
"NR","Killian Larson","Grand Canyon","Sr.","6-9","C","30","180","1","155","516","17.2"
"NR","Jerome Garrison","Grand Canyon","Jr.","6-3","G","30","128","52","187","495","16.5"
"NR","Kyle Hittle","UIW","So.","6-4","G","27","154","59","74","441","16.3"
"NR","Akeem Williams","UMass Lowell","Sr.","5-10","G","28","145","54","98","442","15.8"

NCAA Men's Basketball
Division IField-Goal Percentage
Through Games 04/07/2014

Min. 5 made per game
       
"Rank","Name","Team","Cl","Ht","Pos","G","FGM","FGA","FG%"
"1","Jarvis Williams","Murray St.","Jr.","6-8","F","34","184","284","64.8"
"2","Marshall Bjorklund","North Dakota St.","Sr.","6-8","F","33","178","283","62.9"
"3","Terrence Smith","NJIT","So.","6-6","F","29","154","245","62.9"
"4","Zeek Woodley","Northwestern St.","Fr.","6-2","G","31","174","282","61.7"
"5","Jameel Warney","Stony Brook","So.","6-8","F","34","204","331","61.6"
"6","Montrezl Harrell","Louisville","So.","6-8","F","37","223","366","60.9"
"7","Casey Prather","Florida","Sr.","6-6","F","37","190","315","60.3"
