Name,draft_year,draft_pick,position,Season,Team,Cl,Pos,Ht,G,FGM,3FG,FT,PTS,PPG,FGA,FG%,3PG,3FGA,3FG%,FTA,FT%,REB,RPG,AST,APG,BLKS,BKPG,ST,STPG,TO,Ratio,Trpl Dbl,Dbl Dbl,MP,MPG,ORebs,DRebs
James Anderson,2010,19,Shooting Guard,2009-2010,Oklahoma St.,Jr.,G,6-6,33,226.0,74.0,209.0,735.0,22.3,494.0,45.7,2.2,217.0,34.10138248847926,258.0,81.0,192.0,5.818181818181818,80.0,2.4242424242424243,20.0,0.6060606060606061,46.0,1.393939393939394,78.0,,,,,,64.0,128.0
Daniel Orton,2010,20,Power Forward/Center,2009-2010,Kentucky,Fr.,F,6-11,38,48.0,0.0,33.0,129.0,3.3947368421052633,91.0,52.747252747252745,,2.0,0.0,63.0,52.38095238095238,126.0,3.3157894736842106,15.0,0.3947368421052631,53.0,1.4,21.0,0.5526315789473685,38.0,,,,,,45.0,81.0
Elliot Williams,2010,21,Shooting Guard,2009-2010,Memphis,So.,G,6-5,34,178.0,60.0,194.0,610.0,17.9,388.0,45.9,,164.0,36.58536585365854,256.0,75.78125,135.0,3.9705882352941178,128.0,3.8,4.0,0.1176470588235294,45.0,1.3235294117647058,100.0,,,,,,25.0,110.0
Armon Johnson,2010,22,Point Guard/Shooting Guard,2009-2010,Nevada,Jr.,G,6-3,34,219.0,17.0,80.0,535.0,15.7,442.0,49.5,,70.0,24.285714285714285,115.0,69.56521739130434,110.0,3.235294117647059,189.0,5.6,12.0,0.3529411764705882,28.0,0.8235294117647058,114.0,1.66,,,,,26.0,84.0
Craig Brackins,2010,23,Power Forward,2009-2010,Iowa St.,Jr.,F,6-10,32,192.0,27.0,117.0,528.0,16.5,457.0,42.0,,87.0,31.03448275862069,154.0,76.0,273.0,8.5,69.0,2.15625,38.0,1.2,25.0,0.78125,68.0,,,,,,67.0,206.0
Gani Lawal,2010,24,Power Forward,2009-2010,Georgia Tech,Jr.,F,6-9,36,172.0,0.0,127.0,471.0,13.083333333333334,325.0,52.92307692307692,,1.0,0.0,222.0,57.207207207207205,305.0,8.5,15.0,0.4166666666666667,49.0,1.4,16.0,0.4444444444444444,78.0,,,,,,105.0,200.0
Dominique Jones,2010,25,Shooting Guard,2009-2010,South Fla.,Jr.,G,6-4,33,222.0,52.0,209.0,705.0,21.4,493.0,45.0,,167.0,31.1377245508982,282.0,74.11347517730496,201.0,6.090909090909091,120.0,3.6,19.0,0.5757575757575758,56.0,1.7,97.0,,,,,,37.0,164.0
Larry Sanders,2010,28,Power Forward/Center,2009-2010,VCU,Jr.,F,6-11,35,196.0,4.0,107.0,503.0,14.371428571428572,367.0,53.4,,16.0,25.0,167.0,64.07185628742515,319.0,9.1,34.0,0.9714285714285714,90.0,2.6,26.0,0.7428571428571429,58.0,,,,,,106.0,213.0
Damion James,2010,29,Small Forward,2009-2010,Texas,Sr.,F,6-7,34,210.0,36.0,155.0,611.0,18.0,419.0,50.1,,94.0,38.297872340425535,230.0,67.3913043478261,350.0,10.3,33.0,0.9705882352941176,40.0,1.2,57.0,1.7,69.0,,,17.0,,,107.0,243.0
Quincy Pondexter,2010,35,Small Forward,2009-2010,Washington,Sr.,F,6-6,36,245.0,18.0,187.0,695.0,19.3,464.0,52.8,,51.0,35.294117647058826,226.0,82.7,265.0,7.4,63.0,1.75,21.0,0.5833333333333334,46.0,1.2777777777777777,68.0,,,,,,107.0,158.0
Jordan Crawford,2010,36,Shooting Guard,2009-2010,Xavier,So.,G,6-4,35,260.0,79.0,119.0,718.0,20.5,563.0,46.2,2.3,202.0,39.10891089108911,154.0,77.3,166.0,4.742857142857143,101.0,2.8857142857142857,7.0,0.2,47.0,1.3428571428571427,85.0,,,,,,34.0,132.0
Trevor Booker,2010,37,Power Forward,2009-2010,Clemson,Sr.,F,6-7,32,188.0,9.0,101.0,486.0,15.2,361.0,52.1,,34.0,26.470588235294116,171.0,59.06432748538012,268.0,8.4,81.0,2.53125,45.0,1.4,43.0,1.34375,62.0,,,,,,89.0,179.0
